id;grp;idade;horas de jogo;horas de estudo;conhecimento previo;ex_fixacao_q1;ex_fixacao_q2;ex_fixacao_q3;ex_fixacao_q4;ex_fixacao_q5;form_desempenho_q1;form_desempenho_q2;form_desempenho_q3;form_desempenho_q4;form_desempenho_cadeia_alimentar_besouro;form_desempenho_cadeia_alimentar_joaninha;form_desempenho_cadeia_alimentar_cigarrinha;form_desempenho_cadeia_alimentar_pulgao;form_desempenho_cadeia_alimentar_grilo;form_desempenho_cadeia_alimentar_lagarta;form_teoria_especies_p_manejo;form_teoria_caracteristica_desejada_q1;form_teoria_caracteristica_desejada_q2;form_teoria_caracteristica_desejada_q3;form_teoria_caracteristica_desejada_q4;form_teoria_cbXagrotóxicos;form_teoria_rotacao_de_cultivos
d5f9a71d;3;16;0;1;A;;;;;;2;A;3;C;0;0;0;0;0;0;1;0;1;0;1;0;C
3f85840a;?;15;0;10;A;0;1;0;1;0;5;E;10;G;0;0;0;1;1;0;0;1;0;0;1;0;C
9df2a038;3;15;2;6;D;;;;;;8;C;8;H;0;0;1;0;0;0;0;0;1;1;0;0;C
f74d2d3c;3;15;2;1;A;;;;;;3;A;2;H;0.5;0.5;1;0;1;0;1;0;0;1;1;0.5;B
0a3e917c;3;16;0;10;C;;;;;;0;F;300;C;;;0;0;0;0;0.5;1;1;1;0;0.5;B
dea597d2;3;14;48;2;A;;;;;;5;A;1;E;0.5;0.5;1;1;1;1;0.75;1;0;0;1;0;C
5b8a61b1;3;15;30;6;A;;;;;;11;A;1;G;1;1;1;1;1;1;0.5;1;1;1;1;1;C
73bbba55;3;18;0;6;D;;;;;;4;B;7;D;0.5;0.5;1;1;1;1;0.5;0;1;0;1;0;C
fbc24dc0;3;15;0;1;D;;;;;;15;E;5;H;0;0.25;0;0;0;0;1;0;1;0;1;0;C
412994f9;3;15;5;5;A;;;;;;9;D;1;E;0;0;0;0;0;0;0;0;1;1;1;0;C
e6e44572;3;16;5;1;C;;;;;;220;E;1;E;0.5;0.5;1;0;1;0;0.75;1;1;1;1;0.5;C
122f990d;?;16;3;2;A;0;1;0;1;1;8;AD;10;H;0.5;0.5;1;1;1;1;0.75;0;1;1;1;0.5;C
56127746;1;15;2;3;A;0;1;1;0;1;15;F;2;H;1;1;0;0;0;0.5;0;0;1;0;1;0;C
09705fc7;1;17;7;10;D;0;0;0;1;1;6;D;1;H;0;0;0;1;0;1;0.75;0;0;1;1;1;B
0f862da6;1;15;2;1;A;0;0;0;0;0;6;C;0;A;0.5;0;0;0;0;0;0;1;1;1;0;0.5;C
75e991ed;1;15;30;5;D;1;1;0;1;1;7;"A
";1;B;0.25;0.25;1;0;1;0;0.5;0;1;0;1;0.5;B
8a73fe2a;1;15;14;10;A;0;1;0;0;1;8;E;0;A;0.25;0.25;0;0;0;0;0;1;1;1;0;0.5;B
916a23c3;1;16;5;2;D;1;0;0;1;1;7;D;1;F;0;0.5;0;0;1;0;0.5;1;1;1;0;0;B
284eaf3c;1;16;1;11;B;0;1;0;0;0;4;BC;2;G;0;0;0;1;0;1;0;1;1;1;1;0.5;C
014644f4;2;15;6;10;A;;;;;;6;"A
";8;C;1;1;0.5;0.5;0;0;0;0;1;1;0;0;B
2f53b5d0;2;14;7;13;A;;;;;;5;C;3;G;0.25;0.25;0;1;0.5;0;0;0;0;0;1;0.5;B
4c234bc9;2;16;1;11;B;;;;;;0;E;9;C;0;0;1;0;0;0;1;1;1;1;0;0;A
b5982209;2;16;40;15;B;;;;;;8;E;0;A;0.5;0.25;1;0;0;0;0;1;1;0;1;0;C
b967a83f;2;16;2;2;A;;;;;;9;D;0;A;0;0;0;0;1;0;0;1;0;1;0;0;B
f186d1fb;2;15;3;1;A;;;;;;2;A;0;A;0.5;0.5;0;0.25;0;0.5;0.75;0;1;1;1;0;C
fe955bfe;2;16;4;10;D;;;;;;3;A;2;G;0;0.5;0.5;0;0;0;0.5;0;0;1;1;0;0
0098a532;4;15;30;1;A;;;;;;5;A;1;B;0.5;0.5;1;0;0;1;0.75;1;0;0;1;0;C
0b594314;4;15;16;14;A;;;;;;8;B;0;A;0.25;0.25;1;1;1;1;0.75;1;0;0;0;0.5;B
53f94f84;4;15;7;9;D;;;;;;5;AD;0;A;1;1;0;1;1;0;0.75;1;0;1;1;1;A
a39b856f;4;16;7;10;A;;;;;;8;D;0;A;0.25;0.25;1;0;0;0;0.5;0;0;1;0;0.5;C
b50cfe1f;4;15;3;1;A;;;;;;10;E;0;A;0;0;0.5;0;0;0;0;0;0;1;0;0;C
edd26b86;4;16;15;30;D;;;;;;8;AD;0;A;0.5;0.5;0;0;0;0.25;0;0;0;0;0;0;B
f9e84eda;4;15;10;4;A;;;;;;5;D;1;F;0.5;0.5;0;0;1;0;0;1;0;1;1;0;B
6b1464d1;0;15;15;6;D;0;1;1;0;1;11;D;2;C;0.5;0.5;1;1;1;0.5;0;0;0;1;0;1;C
d17db9cf;0;15;15;7;D;1;1;1;1;1;10;B;0;A;1;1;1;1;0;0;0.75;1;1;0;1;0.5;B
173d5880;0;17;2;14;D;0;1;0;1;1;8;AC;0;A;0.25;0.25;0;0;0;0;0;0;0;1;1;0.5;C
8e314375;0;15;4;1;B;0;1;1;0;0;8;D;0;A;1;1;1;1;0;0;0.75;0;1;1;0;0;C
95609edc;4;18;0;10;AC;;;;;;4;A;4;H;0.5;0.5;1;1;1;1;0.75;0;1;0;1;1;B
eb6afc4b;2;18;5;3;AC;;;;;;8;B;0;A;0;0.5;0;0;1;1;0.75;1;0;1;0;0;B
1c8481c5;3;18;4;22;C;;;;;;5;AB;3;G;0.25;0;0;1;0;0;0.75;1;0;0;1;1;C
2c313a49;1;19;14;21;A;0;1;1;0;1;8;D;0;A;0.5;0.5;0;0;0;0;0.75;1;1;0;1;0.5;B
a7a3a7ce;4;20;20;10;A;;;;;;10;BC;2;H;0.5;0.5;1;1;1;1;0;1;1;0;1;0;B
6d519978;1;18;0;6;D;1;1;0;0;0;4;D;6;G;0;1;0;0;0;0;0.75;1;1;1;1;0.5;C
95350bff;2;18;5;15;D;;;;;;7;A;1;H;1;1;0;0;0;0;0.5;1;1;0;1;1;B
facb93c1;1;18;1;10;A;0;1;0;1;1;6;AC;0;A;0.5;0.5;1;0;1;0;0.75;1;1;1;1;1;B
dd9b8455;4;19;2;9;A;;;;;;8;ACD;0;A;0.5;0.5;0;1;0;1;0.75;1;1;1;1;1;C
cfed2631;2;20;2;6;D;;;;;;5;D;3;C;0;0;1;0;1;0;0;1;1;1;0;0;B
4c649212;4;18;28;7;AC;;;;;;12;AC;0;A;0.5;0.5;0;0;0;0;0.75;0;1;1;1;0.5;B
b64109c1;1;19;1;25;A;0;1;0;0;1;9;E;0;A;0;0;0;0;0;0;0.5;1;1;1;1;0.5;B
fe3b0ae9;2;18;0;4;A;;;;;;8;A;0;A;0.25;0.25;1;0;0;0;0.75;1;1;1;0;1;B
6a733d5e;3;18;2;4;C;;;;;;8;AC;0;A;1;1;1;0;1;1;0.75;1;0;1;1;1;B
f16c8140;3;18;14;3;AC;;;;;;8;AD;0;A;0.5;0.5;1;0;1;0;0.75;1;1;1;1;0.5;B
7d2e1db1;3;18;1;20;D;;;;;;7;AC;1;E;0.5;0.5;1;1;0;0;1;1;1;0;1;1;B
41582dea;4;18;0;8;A;;;;;;6;A;2;G;0.25;0;0;0;0;0;0.75;1;1;1;1;1;B
63bbc8d0;3;18;1;15;A;;;;;;4;A;6;C;0.5;1;0;0;0;0;0.75;1;0;1;1;1;A
81765813;4;19;0;5;A;;;;;;70;AB;2;G;0;0;0;0;0;0;0;0;0;0;0;0;0
8d8806d1;1;18;1;0;A;0;1;1;0;1;4;A;4;H;0;0;0;0;1;1;1;0;1;0;1;0.5;C
67f7c5a9;3;18;24;14;A;;;;;;6;A;2;B;0.5;0.25;0;0;0;0;0;0;1;1;1;1;B
c727dacb;2;19;2;4;C;;;;;;7;E;1;H;1;1;0;0;0;0;0.75;0;1;1;1;0.5;C
7f45bbc0;3;18;5;2;A;;;;;;2500;D;1;C;0;0;0;0;0;0;0.75;0;1;0;1;0;B
bd81d861;2;18;12;14;A;;;;;;6;A;2;E;1;1;1;0;0;0;1;1;0;0;1;1;B
c5628676;4;18;4;15;AC;;;;;;6;AD;2;H;0.5;0.5;1;1;1;1;1;1;1;0;1;1;B
dad336c3;1;19;3;2;A;0;0;0;0;0;10;B;1;H;1;1;1;0;1;0;0.75;1;1;0;0;1;C
cecddd3f;2;19;0;3;AC;;;;;;6;D;2;H;0;0;0;0;0;0;0.5;1;1;0;1;0;B
635460f1;4;18;8;8;A;;;;;;7;AD;1;H;0.5;0.5;1;1;0;0;0.75;1;1;1;1;1;B
57ded246;1;19;2;2;D;0;1;0;0;1;25;A;0;A;1;1;0;0;0;0;0;1;0;1;1;0.5;C
